"Height,(mm)",Probe 1,Probe 2,Probe 3,Probe 4,,Probe 1 best fit,Probe 2 best fit,Probe 3 best fit,Probe 4 best fit, ,Anticipated V_out,  ,P1 max,P2 max,P3 max,P4 max,   ,P1 min,P2 min,P3 min,P4 min,    ,P1 error,P2 error,P3 error,P4 error,     ,P1,P2,P3,P4
50.0,0.5724663865546213,0.37079831932772983,0.38180554621848695,0.415606218487394,,0.5831472600371765,0.36044708086948507,0.37526139941293624,0.4285341126759812,,0.420725,,0.5767399999999999,0.39100999999999997,0.39589,0.42033000000000004,,0.56696,0.34702,0.37146,0.41056000000000004,,26.50660198022702,13.464645892351665,10.193527612938745,1.2316421855370507,,,,,
101.0,0.8076827731092431,0.5753423529411763,0.5963291596638663,0.6797831932773105,,0.8032303812591155,0.5802915389152321,0.5951996720009309,0.6472114072712258,,0.6458645000000001,,0.81623,0.58162,0.60117,0.68915,,0.80156,0.56696,0.5914,0.6696,,20.03487984351949,12.257423201735685,8.306711072800022,4.989633991064806,,,,,
200.0,1.2369709243697462,1.0081553781512589,1.021960252100843,1.0663536134453764,,1.2304505577487614,1.0070484280628587,1.0221386717305678,1.0717026261914067,,1.0829,,1.24145,1.01173,1.02639,1.0752700000000002,,1.23167,1.00196,1.01662,1.06061,,12.455500879961871,7.413998225730514,5.96302525209597,1.5516791377639174,,,,,
305.0,1.683137899159665,1.4544864705882357,1.4689457983193273,1.5129313445378165,,1.683562866146871,1.4596693710982203,1.4749527623529097,1.5219205856522047,,1.5464225,,1.6911,1.46139,1.47605,1.52004,,1.6764400000000002,1.45161,1.46139,1.50538,,8.12264991644015,6.320858342159953,5.274306361018671,2.213659964353153,,,,,
400.0,2.0961557142857137,1.8673476470588248,1.882624033613446,1.926244201680674,,2.0935216213642076,1.8691835576540237,1.8846417014874097,1.9292606442119742,,1.9657999999999998,,2.10166,1.87195,1.88661,1.9306,,2.0918900000000002,1.86217,1.87683,1.92082,,6.218799175906354,5.272309797066593,4.418086930873207,2.0535193972193557,,,,,
500.0,2.529756470588236,2.301846722689076,2.317251680672269,2.355653613445378,,2.525057153171931,2.300251122449606,2.315893216365831,2.358039653222258,,2.40725,,2.53666,2.30694,2.3216,2.36559,,2.52199,2.29717,2.31183,2.3460400000000003,,4.842619122138263,4.579074543581648,3.8838387767021105,2.1903214572857856,,,,,
600.0,2.9489363865546188,2.7234967226890765,2.739268907563028,2.7758212605041983,,2.956592684979654,2.7313186872451887,2.747144731244252,2.7868186622325415,,2.8487,,2.9569900000000002,2.72727,2.74682,2.78104,,2.94233,2.7175,2.73216,2.77126,,3.399069135964972,4.597151752299617,3.9949014182155183,2.6254838714854447,,,,,
700.0,3.3860715126050334,3.1598455462184827,3.1761904201680737,3.2120040336134426,,3.3881282167873774,3.162386252040771,3.178396246122673,3.215597671242825,,3.29015,,3.39198,3.16716,3.18182,3.21603,,3.3822099999999997,3.1524900000000002,3.16716,3.20626,,2.832825953260425,4.123760224212799,3.587932861591341,2.432934877066293,,,,,
799.0,3.823281680672269,3.5975490756302535,3.6129953781512505,3.6491394957983174,,3.815348393277023,3.5891431411883974,3.60533524585231,3.640088890163006,,3.7271855000000005,,3.8269800000000003,3.60215,3.6168099999999996,3.65591,,3.8172,3.5923800000000004,3.60704,3.64125,,2.5134475745813036,3.6034650714816454,3.160538829894115,2.138750910770788,,,,,
900.0,4.2441801673640125,4.020397405857731,4.037086527196644,4.071257656903775,,4.251199280402824,4.024521381631936,4.040899275879514,4.073155689263393,,4.17305,,4.2522,4.0273699999999995,4.04692,4.08113,,4.23754,4.01271,4.0273699999999995,4.06158,,1.6759459909589627,3.796952856447803,3.367861250617509,2.500267771645747,,,,,
950.0,4.468565546218489,4.245050084033619,4.261930252100846,4.295080504201688,,4.466967046306686,4.240055164029727,4.2565250333187254,4.287545193768534,,4.393775,,4.47703,4.2522,4.266859999999999,4.301080000000001,,4.46237,4.23754,4.25709,4.2913,,1.6737036851071936,3.5034902538785397,3.093545414877747,2.2978497306805616,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004315355318077232,0.004310675647955824,0.00431251514878421,0.004287790090102837
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367379494133315,0.14491329847169382,0.15963564197372573,0.2141446081708393
